id,type,initial_frame,detection_duration,lenght
582,car,11029,56,133.3463134765625
583,car,11048,50,175.04258728027344
584,car,11093,48,64.98846435546875
585,car,11095,52,91.814697265625
586,car,11107,47,149.65911865234375
587,truck,11109,1,144.37054443359375
588,car,11124,52,160.44908142089844
589,train,11153,24,407.71661376953125
590,car,11162,53,163.16737365722656
591,train,11185,5,454.37542724609375
592,car,11202,32,134.4476318359375
593,truck,11229,22,306.37921142578125
594,car,11256,48,127.5233154296875
595,car,11270,31,138.94915771484375
596,truck,11282,10,366.00274658203125
597,car,11302,59,121.8048095703125
598,car,11336,53,137.99755859375
599,motorcycle,11361,1,60.8609619140625
600,truck,11369,4,142.9638671875
601,truck,11370,4,317.0850830078125
602,car,11399,3,96.1138916015625
603,car,11410,58,155.62596130371094
604,car,11419,48,130.190673828125
605,car,11433,17,262.59608459472656
606,motorcycle,11450,55,62.454833984375
607,bus,11450,1,239.48123168945312
608,car,11457,2,91.365966796875
609,car,11467,50,131.451416015625
610,car,11477,59,186.29237365722656
611,car,11479,1,100.1995849609375
612,truck,11504,38,173.92799377441406
613,car,11518,53,213.11561584472656
614,truck,11540,46,384.5012512207031
615,car,11561,56,157.92974853515625
616,car,11583,50,125.0078125
617,car,11608,14,133.423828125
618,car,11608,31,173.80810546875
619,car,11635,56,163.92529296875
620,car,11653,69,147.24757385253906
621,car,11684,60,133.83154296875
622,car,11689,62,131.460693359375
623,car,11713,25,144.0057373046875
624,car,11723,58,127.168212890625
625,train,11741,6,406.93902587890625
626,truck,11778,3,551.2506103515625
627,truck,11798,12,225.8885498046875
628,car,11833,28,161.90283203125
629,train,11837,3,418.67230224609375
630,car,11856,52,166.3270263671875
631,truck,11857,26,455.554443359375
632,car,11904,56,157.78260803222656
633,car,11907,60,138.478515625
634,motorcycle,11918,5,67.5301513671875
635,car,11961,67,152.83323669433594
636,truck,11981,2,193.1339111328125
637,truck,11987,26,399.21380615234375
638,car,12018,3,66.303466796875
639,car,12058,63,194.33099365234375
640,car,12069,55,183.1922607421875
641,car,12092,35,130.88922119140625
642,motorcycle,12098,10,68.86285400390625
643,car,12104,47,158.49644470214844
644,truck,12132,62,345.7973937988281
645,train,12133,1,527.6296997070312
646,car,12139,62,169.48681640625
647,truck,12175,19,404.185546875
648,car,12186,4,112.2081298828125
649,car,12235,44,164.71148681640625
650,train,12235,1,151.883544921875
651,car,12241,58,149.55523681640625
652,truck,12246,7,149.6029052734375
653,car,12264,34,138.0867919921875
654,car,12280,56,154.98541259765625
655,car,12295,24,117.62921142578125
656,truck,12320,13,178.0113525390625
657,car,12338,13,117.359375
658,truck,12350,31,322.6022644042969
659,truck,12375,19,403.9296875
660,truck,12418,10,260.9151611328125
661,car,12419,45,155.80377197265625
662,motorcycle,12439,2,67.07135009765625
663,truck,12457,1,265.562255859375
664,truck,12486,22,171.14044189453125
665,truck,12489,8,159.21728515625
666,bus,12502,1,184.17572021484375
667,car,12505,52,192.2587890625
668,bus,12516,19,173.191162109375
669,car,12519,28,160.20233154296875
